No,Name,Address,Latitude,Longitude
1,Yeongdeungpo Fire Station,"100 Yeongdeungpodong 4(sa)-ga, Yeongdeungpo-gu, Seoul, South Korea",37.518402,126.904174
2,Dongdaemun Fire Station,"434 Jangan-dong, Dongdaemun-gu, Seoul, South Korea",37.563928,127.066655
3,Yongsan Fire Station,"2-89 Hangangno 2(i)-ga, Yongsan-gu, Seoul, South Korea",37.534049,126.971520
4,Gwangjin Fire Station,"253-23 Gueui-dong, Gwangjin-gu, Seoul, South Korea",37.544886,127.082804
5,Jongno Fire Station,"146-1 Susong-dong, Jongno-gu, Seoul, South Korea",37.572786,126.978875
6,Eunpyeong Fire Station,"120 Jingwan-dong, Eunpyeong-gu, Seoul, South Korea",37.628661,126.920050
7,Seongbuk Fire Station,"3-72 Jongam-dong, Seongbuk-gu, Seoul, South Korea",37.602546,127.031783
8,Gangnam Fire Station,"629 Teheran-ro, Samseong 1(il)-dong, Gangnam-gu, Seoul, South Korea",37.510317,127.066900
9,Seocho Fire Station,"114-2 Banpo 2(i)-dong, Seocho-gu, Seoul, South Korea",37.4769532,127.0378001
10,Gangseo Fire Station,"550 Yangcheon-ro, Deungchon 1(il)-dong, Gangseo-gu, Seoul, South Korea",37.557995,126.860231
11,Mapo Fire Station,"100-5 Sinsu-dong, Mapo-gu, Seoul, South Korea",37.5622933,126.9087792
12,Gangdong Fire Station,"South Korea, Seoul, Gangdong-gu, Seongnae-dong, 541",37.529194,127.124967
13,Nowon Fire Station,"251-14 Hagye 1(il)-dong, Nowon-gu, Seoul, South Korea",37.638103,127.071076
14,Guro Fire Station,"63-12 Gocheok 1(il)-dong, Guro-gu, Seoul, South Korea",37.497738,126.865177
15,Songpa Fire Station,"29-1 Macheon-dong, Songpa-gu, Seoul, South Korea",37.499691,127.142584
16,Gwanak Fire Station,"1593-3 Bongcheon-dong, Gwanak-gu, Seoul, South Korea",37.473836,126.952363
17,Yangcheon Fire Station,"919-6 Mok 1(il)-dong, Yangcheon-gu, Seoul, South Korea",37.530081,126.872306
18,Jungnang Fire Station,"644-2 Sinnae-dong, Jungnang-gu, Seoul, South Korea",37.5953753,127.093966
19,Dongjak Fire Station,"460-19 Sindaebang-dong, Dongjak-gu, Seoul, South Korea",37.494592,126.917723
20,Seodaemun Fire Station,"76-12 Yeonhui-dong, Seodaemun-gu, Seoul, South Korea",37.573183,126.935907
21,Dobong Fire Station,"708 Banghak-dong, Dobong-gu, Seoul, South Korea",37.663935,127.043048
22,Gangbuk Fire Station,"Beon-dong, Gangbuk-gu, Seoul, South Korea",37.633179,127.037545
23,Jungbu Fire Station,"43 Muhak-dong, Jung-gu, Seoul, South Korea",37.564843,127.015385
